name,capital,date,time,lastquote,lastabs,lastrel,bid,offer,low,high,dayvol,pe,yield
Nokia Oyj,281300000000.0,2019-01-02,17:35:49,5.02,0.05,0.0095,4.98,5.05,4.95,5.04,454838.0,25.08,0.0375
NOVADAY,nan,2018-09-08,03:01:06,0.15,0.0,0.0,0.0,0.15,0.15,0.15,1.0,nan,nan
Novatech Industries,nan,2018-12-21,03:01:09,6.3,1.2,0.16,6.2,8.2,6.3,6.3,2.0,nan,nan
NSE Industries,279800000.0,2019-01-02,09:00:02,8.9,0.0,0.0,8.8,10.5,8.9,8.9,1.0,327.71,nan
Oceasoft SA,26100000.0,2019-01-02,17:35:20,0.86,0.04,0.0444,0.85,0.99,0.86,0.94,719.0,1.33,nan
OCTO Technology SA,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,0.0187
Octopus Robots SA,127800000.0,2019-01-02,11:30:08,7.7,0.7,0.1,5.6,8.0,7.7,7.7,8.0,nan,nan
Onlineformapro,nan,2018-12-08,03:00:56,2.16,1.14,0.3455,2.14,3.3,2.16,2.16,589.0,nan,nan
Ordissimo SA,115399999.99999999,2019-01-02,09:00:29,4.6,0.0,0.0,4.3,4.55,4.6,4.6,1.0,nan,nan
Oxatis,86300000.00000001,2019-01-02,13:26:15,3.38,0.38,0.1267,3.35,3.39,3.35,3.5,2665.0,4.28,nan
Pacte Novation SA,nan,2018-12-04,03:00:54,2.78,0.64,0.18710000000000002,2.78,3.5,2.78,2.78,5.0,9.2,nan
Paragon ID,282100000.0,2019-01-02,17:35:28,16.7,0.3,0.0176,16.7,18.0,16.7,17.22,358.0,nan,nan
Parrot SA,943100000.0,2019-01-02,17:35:20,3.2,0.0,0.0,3.19,3.21,3.2,3.23,100162.0,0.89,nan
Pharmagest Interactive,7639000000.0,2019-01-02,17:35:18,51.7,0.6,0.011699999999999999,51.7,51.8,51.2,52.0,807.0,33.91,0.0147
Photonike Capital SA,nan,2017-06-10,03:00:53,7.85,0.05,0.0064,7.85,7.85,7.85,7.85,600.0,nan,nan
Planet Media,119800000.0,2019-01-02,09:00:05,2.52,0.0,0.0,2.5,3.44,2.52,2.52,1.0,9.5,0.0317
Precia,930100000.0,2019-01-02,16:06:08,169.0,0.0,0.0,166.0,169.0,165.0,169.0,74.0,15.09,0.014199999999999999
Prodware SA,701000000.0,2019-01-02,17:35:16,9.05,0.05,0.0055000000000000005,8.95,9.1,8.8,9.2,7609.0,8.68,0.0066
Prologue SA,169000000.0,2019-01-02,17:35:03,0.38,0.0,0.0052,0.37,0.38,0.37,0.38,65899.0,6.1,nan
ProVenture Gold Inc,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
Quotium Technologies,310300000.0,2018-12-13,03:01:10,18.8,2.2,0.1048,22.0,18.8,18.8,18.8,1.0,30.32,nan
Reworld Media,548600000.0,2019-01-02,17:25:34,1.47,0.03,0.0167,1.36,1.5,1.41,1.5,7541.0,33.74,nan
Rexel SA,28100000000.0,2019-01-02,17:35:18,9.1,0.2,0.0215,8.96,9.15,8.98,9.19,967444.0,26.0,0.0452
Riber,408000000.0,2019-01-02,17:35:01,1.93,0.03,0.015300000000000001,1.91,1.96,1.84,1.95,40221.0,10.16,0.0255
Scientific Brain Training,nan,2018-12-11,03:00:56,8.5,0.3,0.0341,5.0,8.45,8.5,8.5,10.0,34.0,nan
Securinfor,nan,2018-12-18,03:01:10,40.0,2.0,0.0526,0.0,45.0,40.0,40.0,5.0,nan,0.0575
Semplicemente S.p.A,nan,NULL,,0.81,nan,nan,0.81,nan,NULL,NULL,nan,nan,nan
SES-imagotag SA,2454000000.0,2019-01-02,17:35:20,18.06,0.12,0.0066,17.88,18.18,17.1,18.5,10177.0,11.5,nan
Sidetrade SA,657500000.0,2019-01-02,14:03:30,50.2,0.2,0.004,50.0,50.2,50.0,50.2,90.0,35.55,nan
Societe O2I,117300000.0,2019-01-02,17:14:21,0.98,0.01,0.0124,0.98,1.03,0.97,1.04,8291.0,45.77,nan
Societe Pour L'Informatique Industrielle,4114000000.0,2019-01-02,17:35:08,20.1,0.6,0.028999999999999998,20.1,20.5,19.9,20.7,1018.0,15.58,0.0072
Sodifrance SA,581400000.0,2018-12-29,03:01:07,16.0,0.9,0.0596,14.1,16.6,16.0,16.0,9.0,34.78,0.0144
Soft Computing,514200000.0,2019-01-02,16:29:47,24.4,0.2,0.008100000000000001,24.4,24.6,24.4,24.4,430.0,20.68,0.0203
Soitec SA,15900000000.0,2019-01-02,17:35:14,53.1,2.5,0.049400000000000006,51.8,53.4,49.04,53.65,159099.0,18.18,nan
Solocal Group SA,2936000000.0,2019-01-02,17:35:29,0.48,0.02,0.0471,0.48,0.48,0.47,0.51,2517077.0,0.19,nan
Solutions 30 SE,9282000000.0,2019-01-02,17:35:12,8.79,0.13,0.0146,8.61,8.97,8.45,8.99,121184.0,67.23,nan
Sopra Steria Group SA,16299999999.999998,2019-01-02,17:35:13,81.0,0.35,0.0043,80.5,81.5,78.75,81.25,38127.0,11.42,0.0298
SQLI SA,720100000.0,2019-01-02,17:35:16,16.14,0.34,0.0206,15.74,16.18,15.66,16.16,3409.0,35.59,nan
STMicroelectronics NV,109900000000.0,2019-01-02,17:38:05,12.15,0.34,0.027200000000000002,12.12,12.22,11.92,12.23,2863004.0,nan,0.016399999999999998
Streamwide,210900000.0,2019-01-02,11:30:19,7.2,0.0,0.0,7.1,7.3,7.2,7.2,1.0,7.91,nan
Swiss Fintec Invest AG,nan,2019-01-02,11:30:12,0.24,0.01,0.026099999999999998,0.2,0.25,0.24,0.24,500.0,nan,nan
Sword Group,2765000000.0,2019-01-02,17:35:26,28.9,0.1,0.0034000000000000002,28.8,29.1,28.65,29.5,6234.0,26.51,0.0414
Technofirst SA,606270.0,2019-01-02,17:04:56,0.14,0.0,0.0070999999999999995,0.12,0.23,0.14,0.14,7795.0,1.0,nan
Tessi,3258000000.0,2019-01-02,17:35:01,114.0,2.0,0.0172,114.0,119.0,114.0,117.0,449.0,10.2,nan
Tonna Electronique,nan,2018-06-22,07:15:00,0.41,0.0,0.0,0.41,0.41,0.41,0.41,5.0,0.26,nan
Traqueur SA,33300000.0,2019-01-02,11:30:28,1.01,0.0,0.0,1.0,1.15,1.01,1.01,1.0,0.25,nan
Travel Technology Interactive SA,72500000.0,2018-12-15,03:01:10,1.1,0.0,0.0,0.02,1.31,1.1,1.1,2630.0,22.0,nan
Tronics Microsystems,409099999.99999994,2018-12-28,03:00:54,11.1,0.0,0.0,11.1,13.0,11.1,11.1,128.0,6.19,nan
Txcom,55900000.0,2018-12-29,03:01:07,4.54,0.36,0.0735,4.54,5.5,4.54,4.54,210.0,11.43,0.0352
Ubisoft Entertainment,77500000000.0,2019-01-02,17:35:16,69.42,1.06,0.015,68.5,69.8,68.42,70.54,272996.0,58.83,nan
Umanis NR,1577000000.0,2019-01-02,16:31:52,8.3,0.24,0.0281,8.2,8.36,8.3,8.58,2364.0,9.02,0.0141
Union Technologies Informatique Group,45700000.0,2019-01-02,09:00:08,0.52,0.0,0.0039000000000000003,0.52,0.53,0.52,0.52,1.0,4.33,nan
Visiativ SA,589500000.0,2019-01-02,17:35:14,15.0,0.0,0.0,14.98,15.0,14.78,15.0,2369.0,12.54,nan
Visiodent SA,98900000.0,2019-01-02,16:30:03,2.5,0.3,0.1364,2.3,2.52,2.3,2.5,4080.0,27.92,0.05
VOGO SA,373500000.0,2019-01-02,17:20:04,10.7,0.3,0.0273,10.7,11.25,10.7,11.0,201.0,nan,nan
Voluntis SA,312000000.0,2019-01-02,17:35:15,4.99,0.0,0.0,4.99,5.2,4.99,5.49,1590.0,3.11,nan
Wallix Group SA,718000000.0,2019-01-02,17:35:23,12.5,0.0,0.0,12.1,12.55,11.5,12.65,3506.0,48.08,nan
Wavestone SA,4640000000.0,2019-01-02,17:35:46,24.4,1.25,0.054000000000000006,24.4,25.25,23.45,24.8,7610.0,18.07,0.0087
Weborama SA,281500000.0,2019-01-02,10:27:37,7.6,0.7,0.1014,6.75,7.5,7.4,7.6,1201.0,10.83,nan
Wedia,196100000.0,2019-01-02,09:00:01,22.9,0.0,0.0,21.7,24.0,22.9,22.9,1.0,27.44,0.0083
Witbe SA,213400000.0,2019-01-02,17:24:20,5.22,0.18,0.0333,5.2,5.22,5.0,5.4,936.0,5.02,nan
X-FAB Silicon Foundries SE,5565000000.0,2019-01-02,17:37:12,4.38,0.12,0.027000000000000003,4.3,4.4,4.22,4.4,46164.0,nan,nan
陽電控股有限公司,nan,NULL,,nan,nan,nan,nan,nan,NULL,NULL,nan,nan,nan
